FID,siteId,uwwCode,repCode,uwwName,uwwState,uwwE-PRTRCode,uwwCollectingSystem,uwwNUTS,uwwLoadEnteringUWWTP,uwwCapacity,uwwPrimaryTreatment,uwwSecondaryTreatment,uwwNRemoval,uwwPRemoval,uwwUV,uwwChlorination,uwwOzonation,uwwSandFiltration,uwwMicroFiltration,uwwSpecification,uwwBOD5Perf,uwwCODPerf,uwwTSSPerf,uwwNTotPerf,uwwPTotPerf,uwwOtherPerf,uwwBadPerfDesign,uwwLatitude,uwwLongitude,the_geom,uwwBODIncomingMeasured,uwwCODIncomingMeasured,uwwNIncomingMeasured,uwwPIncomingMeasured,uwwBODDischargeMeasured,uwwCODDischargeMeasured,uwwNDischargeMeasured,uwwPDischargeMeasured,uwwWasteWaterTreated,uwwMethodWasteWaterTreated,uwwRemarks,uwwDateClosing,uwwAccidents,uwwBadPerformance,uwwBODDischargeCalculated,uwwBODDischargeEstimated,uwwBODIncomingCalculated,uwwBODIncomingEstimated,uwwCODDischargeCalculated,uwwCODDischargeEstimated,uwwCODIncomingCalculated,uwwCODIncomingEstimated,uwwHistorie,uwwInformation,uwwNDischargeCalculated,uwwNDischargeEstimated,uwwNIncomingCalculated,uwwNIncomingEstimated,uwwPDischargeCalculated,uwwPDischargeEstimated,uwwPIncomingCalculated,uwwPIncomingEstimated,uwwOther,uwwTreatmentType,uwwTreatmentTypeRequired,uwwTreatmentMet,uwwPerformanceMet,uwwCompliance,repReportedPerdiod,uwwBeginLife,uwwEndLife
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b2a,2018_uww_UKENAN_AW_TP000024,UKENAN_AW_TP000024,UK,BOTTISHAM STW,1,,ISCON,UKH12,3772,3912,1,1,0,0,0,0,0,0,0,additonal terrtiary settlement lamella,P,P,NR,NR,NR,,,52.2281806,0.25915652,POINT (0.259156519 52.22818063715638),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b29,2018_uww_UKENNE_NU_TP000045,UKENNE_NU_TP000045,UK,SEAHOUSES STW,1,,ISCON,UKC21,11595,11595,1,1,0,0,0,0,0,0,0,,P,P,NR,NR,NR,,,55.58445898,-1.64131378,POINT (-1.641313778 55.584459013137725),,,,,,,,,,,We have started to include holiday population as this is significant at this site. We have left it on sampling even though it is <10K as holiday pop. is difficult to measure accuratley.,,,,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b28,2018_uww_UKENNE_NU_TP000046,UKENNE_NU_TP000046,UK,HARTLEPOOL   STW,1,,ISCON,UKC11,123707,181792,1,1,0,0,1,0,0,0,0,,P,P,NR,NR,NR,,,54.64130404,-1.1959767,POINT (-1.195976703 54.64130407438268),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b27,2018_uww_UKENNE_NU_TP000047,UKENNE_NU_TP000047,UK,SEDGEFIELD STW,1,,ISCON,UKC14,4774,6000,1,1,0,0,0,0,0,0,0,HSAF,P,P,NR,NR,NR,,,54.64494112,-1.44368678,POINT (-1.4436867769999997 54.644941154378046),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b26,2018_uww_UKENSO_SW_TP000140,UKENSO_SW_TP000140,UK,COXHEATH STW,1,,ISCON,UKJ45,8650,8650,1,1,0,0,0,0,0,1,0,,P,P,NR,NR,NR,,,51.24425193,0.51229548,POINT (0.512295483 51.244251968094254),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b25,2018_uww_UKENSO_SW_TP000141,UKENSO_SW_TP000141,UK,GRAVESEND STW,1,,ISCON,UKJ43,60520,60520,1,1,0,0,0,0,0,0,0,,P,P,NR,NR,NR,,,51.44346303,0.40060225,POINT (0.400602249 51.44346306791413),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b24,2018_uww_UKENSO_SW_TP000142,UKENSO_SW_TP000142,UK,NORTHFLEET STW,1,,ISCON,UKJ43,55684,56966,1,1,0,0,0,0,0,0,0,,P,P,NR,NR,NR,,,51.43836924,0.32766825,POINT (0.32766825 51.438369277918795),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b23,2018_uww_UKNI_TP00060,UKNI_TP00060,UK,Moneyreagh,1,,ISCON,UKN14,2386,2150,1,1,0,0,0,0,0,0,0,MBR plant,P,P,NR,NR,NR,NR,,54.53,-5.822,POINT (-5.822 54.53000003452411),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NR,More Stringent: Other,Secondary,1,1,C,2018,2018-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b22,2018_uww_UKENAN_AW_TP000080,UKENAN_AW_TP000080,UK,DODDINGTON STW,1,,ISCON,UKH12,3861,3861,1,1,0,0,0,0,0,0,0,"Solids removal HSAF , tertiary settlement",P,P,NR,NR,NR,,,52.50703899,0.06316617,POINT (0.063166171 52.50703902686911),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Secondary,Secondary,1,1,C,2018,2014-01-01T00:00:00,
UWWTD_United-Kingdom_UrbanWasteWaterTreatmentPlant.fid--515f29cd_17eb926cae9_-1b21,2018_uww_UKENTH_TWU_TP000109,UKENTH_TWU_TP000109,UK,MERSTHAM STW,1,,ISCON,UKJ26,9555,9555,1,1,0,0,0,0,0,0,1,,P,P,NR,NR,NR,,,51.25421136,-0.14139337,POINT (-0.141393372 51.25421139808537),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,More Stringent: Other,Secondary,1,1,C,2018,2014-01-01T00:00:00,
